,originalTitle,director,startYear,runtimeMinutes,genre1,genre2,genre3,overview,popularity,ID
16,Les diaboliques,Henri-Georges Clouzot,1955,117,Crime,Drame,Horreur,"Le directeur cruel et abusif d'un internat, Michel Delassalle, est assassiné par un duo improbable : sa douce épouse et la maîtresse qu'il affiche effrontément. Les femmes sont de plus en plus déstabilisées par une série d'événements étranges après la disparition mystérieuse du cadavre de Delassalle.",11.909,https://m.media-amazon.com/images/M/MV5BNDlmNjI4ZDctNzE1MS00MDYxLTlmY2MtZTc4Y2E4ZDNlMDA1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
17,French Cancan,Jean Renoir,1955,102,Comédie,Drame,Musical,"Le Paris du XIXe siècle prend vie dans le récit exaltant de Jean Renoir sur l’ouverture du Moulin Rouge de renommée mondiale. Jean Gabin incarne l'imprésario rusé Danglard, qui fait fureur du cancan tout en jonglant avec l'amour de deux belles femmes : une danseuse du ventre égyptienne et une ouvrière naïve devenue star du cancan.",4.656,https://m.media-amazon.com/images/M/MV5BMjE4MTk3MDY5MV5BMl5BanBnXkFtZTgwOTA0NzM3NDE@._V1_.jpg
18,Le grand jeu,Robert Siodmak,1954,100,Aventure,Drame,Romance,"Dans cette romance, un avocat éconduit rejoint la Légion étrangère française pour l'aider à oublier son amour infidèle. Dans le désert, il aperçoit une beauté du village qui est le double exact de son véritable amour.",1.831,https://m.media-amazon.com/images/M/MV5BYzNjZDEyNDktMDJiOC00NGIyLWEwZGQtZDBhZjk1OGIzMDVlXkEyXkFqcGdeQXVyNjYwODc3ODk@._V1_.jpg
19,Bob le flambeur,Jean-Pierre Melville,1956,98,Crime,Drame,Thriller,"À Paris, Bob Montagne est pratiquement synonyme de jeu – et de gain. Il est gentil, élégant et apprécié de pratiquement tout le monde en ville, y compris l'inspecteur de police Ledru. Cependant, lorsque la chance de Bob tourne au vinaigre, il commence à perdre des amis et fait le pari le plus désespéré de sa vie : braquer le casino de Deauville pendant le week-end du Grand Prix, lorsque les coffres sont pleins. Malheureusement, Bob apprend vite que le jeu est truqué et que les flics s'en prennent à lui.",6.274,https://m.media-amazon.com/images/M/MV5BNjIyMDQwMTA0OV5BMl5BanBnXkFtZTcwMjU4MTAyMQ@@._V1_.jpg
20,Du rififi chez les hommes,Jules Dassin,1955,118,Crime,Drame,Thriller,"Sorti de prison après cinq ans, le voleur de bijoux Tony refuse un travail rapide que son amie Jo lui propose, jusqu'à ce qu'il découvre que son ancienne petite amie Mado est devenue l'amante du gangster local Pierre Grutter pendant l'absence de Tony. En transformant un simple smash-and-grab en un braquage de bijoux à grande échelle, Tony et son équipe semblent s'en sortir proprement, mais leurs actions une fois le travail terminé menacent la vie de toutes les personnes impliquées.",9.713,https://m.media-amazon.com/images/M/MV5BNjZmZGRiMDgtNDkwNi00OTZhLWFhZmMtYTdkYjgyNThhOWY3XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_.jpg
21,Lola Montès,Max Ophüls,1955,116,Biographie,Drame,Romance,"Lola Montes, autrefois grande aventurière, est réduite à être l'attraction d'un cirque après avoir été l'amante de divers hommes importants.",7.505,https://m.media-amazon.com/images/M/MV5BNDRlODllZjktY2I2NC00MDZjLWFkMTgtY2FiOGNhMzg5OGNkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
22,La Pointe-Courte,Agnès Varda,1955,80,Drame,Romance,,"Une étude pénétrante d'un mariage sur les rochers, avec en toile de fond un petit village de pêcheurs méditerranéen. A la fois une représentation stylisée de la relation compliquée entre un couple marié et un regard digne d'un documentaire sur les luttes quotidiennes des habitants de Sète dans le sud de la France.",6.205,https://m.media-amazon.com/images/M/MV5BMDkyZWQ0NWItNjE0Yi00MDliLWExZjYtM2E4ZTVhYmFmMTkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
23,Le chanteur de Mexico,Richard Pottier,1956,103,Musique,Musical,Romance,Vincent Etchebar est repéré par l'impresario Cartoni qui lui donne l'opportunité de s'introduire à Paris. Mais rien ne se passera comme prévu.,1.015,https://m.media-amazon.com/images/M/MV5BMTI5NzY1MzkxMV5BMl5BanBnXkFtZTcwNjc4MTcyMQ@@._V1_.jpg
24,Elena et les hommes,Jean Renoir,1956,98,Comédie,Drame,Romance,"Se déroulant au milieu des manœuvres militaires et des carnavals du Quatorze Juillet de la France du début du siècle, la comédie romantique délirante de Jean Renoir Elena et ses hommes met en vedette une radieuse Ingrid Bergman dans le rôle d'une belle mais pauvre princesse polonaise qui pousse les hommes de tous les rangs à des crises. d'un amour désespéré. Lorsqu'Elena suscite la fascination d'un célèbre général, elle se retrouve au centre de machinations romantiques et d'intrigues politiques, avec le cœur de plusieurs hommes – ainsi que l'avenir de la France – entre ses mains.",2.252,https://m.media-amazon.com/images/M/MV5BYzI2MDA4MmEtYmM0My00N2ZjLWIzZjgtM2ZlNzE3ZGIzMGFiXkEyXkFqcGdeQXVyNjI5NTk0MzE@._V1_.jpg
25,Et Dieu... créa la femme,Roger Vadim,1956,90,Drame,Romance,,"Juliette Hardy est une dynamite sexuelle et fait haleter les hommes d'une ville côtière française. Mais Antoine, le seul homme qui l'affecte également, ne songerait pas à s'installer avec une femme que ses amis considèrent comme une clocharde de la ville.",10.782,https://m.media-amazon.com/images/M/MV5BZDJhOWRiNjEtOGMwMi00ZTI1LTk2YzUtZDQ3OWRhOTMzNjM3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg
26,La mort en ce jardin,Luis Buñuel,1956,104,Aventure,Crime,Drame,"Dans un village isolé de la jungle amazonienne, un groupe de chercheurs de diamants en colère se révolte lorsque le gouvernement local entreprend une violente répression.",3.736,https://m.media-amazon.com/images/M/MV5BYThjYzBhMGItNmI4MS00NjE5LWEyOWMtZWU3Y2FjNDEzNjc0XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_.jpg
27,Le mystère Picasso,,1956,78,Biographie,Documentaire,Histoire,"En utilisant une « toile » transparente spécialement conçue pour offrir une vue dégagée, Picasso crée pendant que la caméra tourne. Il commence par des œuvres simples qui prennent forme après un seul coup de pinceau. Il progresse ensuite vers des peintures plus complexes, dans lesquelles il ajoute et supprime à plusieurs reprises des éléments, transformant la scène entière à volonté, jusqu'à ce que l'œuvre soit enfin terminée.",3.126,https://m.media-amazon.com/images/M/MV5BMDNlOWUzYjctNGQzYy00NWY4LWIxM2UtMDhjODczOTg4MzZiXkEyXkFqcGdeQXVyNDYxOTY1Njg@._V1_.jpg
28,La traversée de Paris,Claude Autant-Lara,1956,80,Comédie,Drame,,Deux compagnons improbables doivent faire passer quatre valises remplies de porc de contrebande à travers Paris occupé par les nazis.,6.99,https://m.media-amazon.com/images/M/MV5BMzUwNDA2Mjk2OF5BMl5BanBnXkFtZTcwODUzMTU1OQ@@._V1_.jpg
29,Celui qui doit mourir,Jules Dassin,1957,122,Drame,,,"La Grèce, dans les années 1920, est occupée par les Turcs. Le pays est en proie à des troubles et des villages entiers sont déracinés. Le site du film est un village grec qui organise chaque année une pièce de théâtre sur la passion. Les principaux citoyens de la ville, sous les auspices du Patriarche, choisissent ceux qui joueront les rôles de la Passion. Un berger bègue est choisi pour jouer Jésus. Le boucher de la ville (qui voulait être Jésus) est choisi comme Judas. La prostituée de la ville est choisie comme Marie-Madeleine. Le reste des disciples est également choisi. Au fur et à mesure que le film se déroule, le Passion Play devient une réalité. Un groupe de villageois, déracinés par la guerre et appauvris, arrivent au village menés par leur curé. Les citoyens les plus riches de la ville ne veulent rien de ces gens et manipulent un massacre. Dans le contexte des années 1920, chacun des personnages joue dans la réalité son rôle biblique.",1.4,https://m.media-amazon.com/images/M/MV5BYmQ4MGM5YzEtZjk1OC00MmRiLTg1OTgtZWExNThhYWViNGU4XkEyXkFqcGdeQXVyMTA2NDgyNA@@._V1_.jpg
30,Maigret tend un piège,Jean Delannoy,1958,119,Crime,Drame,,"Quatre femmes ont été assassinées, chacune a été poignardée et, même si leurs vêtements étaient déchirés, elles n'ont pas été agressées. Au fur et à mesure que le célèbre inspecteur de police Jules Maigret rassemble les indices, il se rend compte que pour que l'homme insaisissable qu'il soupçonne soit démasqué, il doit lui tendre un piège.",6.546,https://m.media-amazon.com/images/M/MV5BZGM1NTk3MGUtZTI0ZS00Y2NmLTkxOGItM2YwNTRmY2M4ZmM0XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_.jpg
31,Mon oncle,Jacques Tati,1958,116,Comédie,,,"Génial et maladroit, Monsieur Hulot adore son appartement au dernier étage dans un coin crasseux de la ville et ne comprend pas pourquoi la famille de sa sœur a déménagé en banlieue. Leur maison est un cauchemar ultramoderne, où Hulot ne se rend que pour lui voler son jeune neveu turbulent. La sœur de Hulot, cependant, veut le convaincre de son nouveau mode de vie et conspire pour lui trouver une femme et un emploi.",9.284,https://m.media-amazon.com/images/M/MV5BY2M5NzUyZmUtODE2NC00NmUwLTk2ZjUtZTNiMmQ2MDEyYTE3XkEyXkFqcGdeQXVyNjI5NTk0MzE@._V1_.jpg
32,Les misérables,Jean-Paul Le Chanois,1958,210,Drame,,,"Le roman monumental de Victor Hugo, Les Misérables, a été si souvent filmé qu'il est parfois difficile de distinguer une version d'une autre. L'une des adaptations les meilleures et les plus fidèles est cette production française de 240 minutes, avec Jean Gabin dans le rôle de Jean Valjean assiégé. Arrêté pour un délit mineur, Valjean passe 20 ans dans le brutal système pénal français. Même après sa libération, sa trace est poursuivie par l'implacable inspecteur Javert. Les efforts de Valjean pour se créer une nouvelle vie malgré l'omniprésence de Javert sont méticuleusement détaillés dans ce film, qui utilise plusieurs épisodes de l'original de Hugo qui n'avaient jusqu'alors jamais été dramatisés. Initialement sorti en film unique, Les Misérables était généralement proposé en deux parties en dehors de la France.",7.966,https://m.media-amazon.com/images/M/MV5BMmVjNzZkMzgtNGFjYy00YWM3LTg3NDQtMmEyZjQ0ODVkM2I0XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_.jpg
33,Notre-Dame de Paris,Jean Delannoy,1956,104,Drame,Fantaisie,,"Paris, 1482. C'est aujourd'hui la fête des fous, qui se déroule comme chaque année sur le parvis de la cathédrale Notre-Dame. Parmi les jongleurs et autres amuseurs, Esmeralda, une gitane sensuelle, exécute une danse envoûtante devant des spectateurs ravis. Du haut d'une tour de la cathédrale, Frollo, un alchimiste, la regarde avec convoitise. Plus tard dans la nuit, Frollo ordonne à Quasimodo, le sonneur déformé et son fidèle serviteur, de kidnapper Esmeralda. Mais lorsque le vilain monstre s'approche d'elle, il est touché par la beauté de la jeune femme...",11.726,https://m.media-amazon.com/images/M/MV5BNWFmMzY5MjAtMzUwMC00OWE5LTg1N2UtY2MzZDQyODY4YTM3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
34,Une parisienne,Michel Boisrond,1957,86,Comédie,,,La fille gâtée de l'ambassadeur de France trompe l'un de ses collaborateurs pour qu'il l'épouse.,1.96,https://m.media-amazon.com/images/M/MV5BODg4MGIxZTctZGRiYS00MGMwLTlmMWYtMWI0NDA5Y2E4MmZmL2ltYWdlXkEyXkFqcGdeQXVyMzI4Nzk0NjY@._V1_.jpg
35,Ascenseur pour l'échafaud,Louis Malle,1958,91,Crime,Drame,Thriller,"Un homme d'affaires sûr de lui assassine son employeur, le mari de sa maîtresse, ce qui provoque involontairement une suite d'événements malheureux.",13.126,https://m.media-amazon.com/images/M/MV5BMjU4MzI1ZDgtMjYxZi00ZjEwLWJiZTktY2M3OWEwZWRlYmVkXkEyXkFqcGdeQXVyMTA2NDgyNA@@._V1_.jpg
36,Le beau Serge,Claude Chabrol,1958,98,Drame,,,"François revient dans son village après une longue absence. Il retrouve son ami Serge qui a épousé Yvonne, et a développé un problème d'alcool après la mort de leur enfant mort-né. Serge est devenu un personnage colérique et amer, un peu comme les rôles de James Dean, refusant d'affronter la réalité et l'âge adulte et François doit l'aider.",5.623,https://m.media-amazon.com/images/M/MV5BYzVhYmU5MWUtMjU5Yy00YTdhLThjNzQtMDU3MTk4N2U3NTNlXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_.jpg
37,En cas de malheur,Claude Autant-Lara,1958,122,Crime,Drame,Romance,"L'avocat français marié André défend avec succès le cas d'Yvette, qui a commis un vol. Il tombe amoureux d'elle, mais elle ne lui est pas fidèle.",3.976,https://m.media-amazon.com/images/M/MV5BNmYxOGY1YzUtZDNmOS00NDU4LWIwZjUtODE1NzhiZjJiYTY0XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
38,La femme et le pantin,Julien Duvivier,1958,101,Drame,,,Un beau et riche gentleman espagnol abandonne sa femme et ses richesses pour son amour d'une jeune fille de race pauvre qui le nargue et le dégrade.,3.699,https://m.media-amazon.com/images/M/MV5BYjI0OWEzMzYtZGViYy00Y2U0LTk1ZjEtNTg3NDc1MThiMWNjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
39,La legge,Jules Dassin,1959,114,Comédie,Crime,Drame,Une magnifique femme de ménage renverse la situation sur les hommes d'une petite ville côtière de la Méditerranée en utilisant leur propre jeu de boisson vicieux.,2.58,https://m.media-amazon.com/images/M/MV5BMmUzODcwMDItZTgzMS00M2Y4LWJiYzItMmQzYmE5OTc1MTQ3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
40,Le bossu,André Hunebelle,1959,105,Action,Aventure,,"Le duc Philippe de Nevers est un homme influent et populaire marié à une belle épouse appelée Aurore. Son rival Philippe de Gonzague le déteste suffisamment pour organiser un attentat contre lui. Le duc est accompagné d'Henri de Lagardère lorsque les sbires de Gonzague l'attaquent en bloc. Lagardère ne peut pas sauver son ami car tous deux sont désespérément en infériorité numérique. Il doit s'échapper pour sauver la fille du duc et jure de se venger. Avec son vieux copain Passepoil, il élève la petite fille en Espagne. Parallèlement, il revient fréquemment en France où il découvre en face les assassins de son ami et les passe au fil de l'épée un à un jusqu'à ce qu'il ne reste plus que leur ancien chef. Il découvre enfin que Philippe de Gonzague est l'homme qu'il recherche.",4.648,https://m.media-amazon.com/images/M/MV5BMzJjNTIwMDAtNmI2NS00N2UxLThmNzYtNmFlYzBhMjJhMTFjXkEyXkFqcGdeQXVyMjc1NDA2OA@@._V1_.jpg
41,Classe tous risques,Claude Sautet,1960,103,Crime,Drame,Romance,"Dans les rues bondées de Milan, deux hommes exécutent un vol de paie en une fraction de seconde, en plein jour, puis entament une escapade fulgurante, via tous les moyens de transport disponibles. Mais après tout, quand un dur à cuire revient en France (où il a été condamné à mort par contumace) après s'être enfermé en Italie pendant près d'une décennie, il lui faut un peu d'argent pour démarrer, surtout s'il repart avec sa femme et ses enfants. .",5.843,https://m.media-amazon.com/images/M/MV5BOTEwNDEzNTEtZDc1ZS00NWFlLWFiM2QtZjAyODhlNGEzYzc1XkEyXkFqcGdeQXVyNDE0OTU3NDY@._V1_.jpg
42,Les cousins,Claude Chabrol,1959,112,Drame,,,"Charles est un jeune provincial qui vient à Paris pour étudier le droit. Il partage l'appartement de son cousin Paul. Paul est une sorte de garçon décadent, un jouisseur désillusionné, toujours traîné avec d'autres oisifs, tandis que Charles est un homme laborieux, naïf et honnête. Il tombe amoureux de Florence, une connaissance de Paul. Mais comment Paul réagira-t-il à cette tentative de construire une véritable relation amoureuse ? L'un des films majeurs de la Nouvelle Vague.",3.617,https://m.media-amazon.com/images/M/MV5BNjNjYzZiMzUtOTUzZi00ZDZjLWExMzgtYzVlZjczYTUzNmIzXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg
43,Deux hommes dans Manhattan,Jean-Pierre Melville,1959,84,Crime,Drame,Thriller,Deux journalistes français sont impliqués dans un complot criminel à New York impliquant un diplomate des Nations Unies disparu.,3.402,https://m.media-amazon.com/images/M/MV5BZDVjOTdkMzctNjA3Zi00NTE4LWFmMGItYjFkNmRkZjZiMjBmXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_.jpg
44,Le dos au mur,Édouard Molinaro,1958,93,Crime,Drame,Film noir,"Le riche industriel Jacques Decret apprend que sa femme Gloria entretient une liaison avec un jeune acteur. Pour se venger, il la bombarde de lettres anonymes, la convainquant que son amant est le coupable tandis que Gloria cherche désespérément une issue.",1.569,https://m.media-amazon.com/images/M/MV5BNThkZjUyZjgtYTFhOS00MTUzLTgxMTAtNmU5ODc2ZmU3NTUxXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_.jpg
45,Hiroshima mon amour,Alain Resnais,1959,90,Drame,Romance,,"La conversation profonde entre un architecte japonais et une actrice française constitue la base de ce célèbre film français, considéré comme l'une des productions d'avant-garde de la Nouvelle Vague française. Situé à Hiroshima après la fin de la Seconde Guerre mondiale, le couple - des amants devenus amis - raconte, pendant de nombreuses heures, leurs histoires d'amour et leurs expériences de vie antérieures. Les deux hommes entrelacent leurs histoires sur le passé et réfléchissent aux ravages provoqués par la bombe atomique larguée sur la ville.",10.366,https://m.media-amazon.com/images/M/MV5BNGU4NzlhZDEtYmFhNy00NjFmLThlNTEtMjVkZmIzZDAyOWMxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg
46,Maigret et l'affaire Saint-Fiacre,Jean Delannoy,1959,101,Crime,Drame,Thriller,"Le commissaire de police Jules Maigret revient dans le petit village où il a passé son enfance à la demande de la comtesse de Saint-Fiacre, qui a reçu une inquiétante lettre anonyme.",5.324,https://m.media-amazon.com/images/M/MV5BMTc3NjQ2NTcxOV5BMl5BanBnXkFtZTgwNTIyNzk1MjE@._V1_.jpg
47,Pickpocket,Robert Bresson,1959,76,Crime,Drame,,"Michel se lance dans le vol à la tire sur une alouette et est arrêté peu de temps après. Sa mère meurt peu de temps après sa libération, et malgré les objections de son seul ami, Jacques, et de la voisine de sa mère, Jeanne, Michel fait équipe avec un couple de petits voleurs afin d'améliorer son métier. Sous la surveillance d'un inspecteur de police, Michel essaie également de trouver un emploi honnête, mais il est difficile de résister à la tentation de voler.",10.37,https://m.media-amazon.com/images/M/MV5BYjRlZTdhZDEtNDQ1Ny00NGQ4LWIyNWYtYTVlNTM5NWRjYmU5XkEyXkFqcGdeQXVyMTc3MDU2MTAw._V1_.jpg
